wav_file,stratum,shard,clip_frac,silence_frac,duty,mod_std,flatness,centroid,start_ratio,end_ratio,flags,n_flags
072_short_filtered-train-00002-of-00082_r2469.wav,short,filtered-train-00002-of-00082,0.0,0.0,0.9232245681381958,5.966886043548584,0.032728515565395355,2243.3936828801675,1.2757928305610045,1.5166447132351806,abrupt_end,1
073_long_filtered-train-00002-of-00082_r1165.wav,long,filtered-train-00002-of-00082,0.0,0.11682586333578251,0.7560617193240264,14.383413314819336,0.021263642236590385,1540.6440456503292,1.389258733818431,1.374743214388711,abrupt_end,1
074_hi_quality_filtered-train-00002-of-00082_r2966.wav,hi_quality,filtered-train-00002-of-00082,0.0,0.017738359201773836,0.7841832963784183,10.823070526123047,0.0859442800283432,2278.1056194695648,1.0426315971764473,1.5302402796902952,abrupt_end,1
075_borderline_filtered-train-00002-of-00082_r1396.wav,borderline,filtered-train-00002-of-00082,0.0,0.08273092369477912,0.793574297188755,10.919153213500977,0.03377844765782356,1878.3965731964445,1.553031874192121,0.08287656346898772,abrupt_start,1
076_borderline_filtered-train-00003-of-00082_r823.wav,borderline,filtered-train-00003-of-00082,3.5211267605633805e-05,0.04081632653061224,0.7508796622097115,12.983256340026855,0.053405918180942535,2290.1239786972856,0.4283420266006366,1.8262601473385387,abrupt_end,1
077_medium_filtered-train-00003-of-00082_r882.wav,medium,filtered-train-00003-of-00082,2.8535555301906177e-05,0.0068415051311288486,0.8643101482326112,8.777353286743164,0.05593547224998474,2302.4909269484488,1.647633899241037,0.708710058417246,abrupt_start,1
078_hi_quality_filtered-train-00003-of-00082_r3015.wav,hi_quality,filtered-train-00003-of-00082,0.0,0.005028735632183908,0.8764367816091954,7.663593769073486,0.06400750577449799,2496.6318077008114,1.077852091422073,1.2317066041742766,,0
079_short_filtered-train-00003-of-00082_r405.wav,short,filtered-train-00003-of-00082,0.0,0.16135084427767354,0.7110694183864915,16.79314422607422,0.03227759152650833,1599.0879552624504,0.180789314679868,0.2845793904221726,,0
080_long_filtered-train-00003-of-00082_r2150.wav,long,filtered-train-00003-of-00082,0.0,0.02167630057803468,0.8345375722543352,9.001570701599121,0.03571997955441475,1723.5849808503708,0.910494140239879,0.6821584620299999,,0
081_borderline_filtered-train-00003-of-00082_r303.wav,borderline,filtered-train-00003-of-00082,0.0,0.12985179957657023,0.7889908256880734,11.646832466125488,0.05270640179514885,1835.576905363507,0.668531790624998,0.9984614447726484,,0
